video_id,title,url,view_count,genre,country
f1EclOnMzmY,"Edna Wright ""If The Price Is Right"" 70s SOUL",https://www.youtube.com/watch?v=f1EclOnMzmY,6774,soul,Unknown
Oc7yhO_GAqc,Classic 70’s Soul Demos (1976) [Lost Sessions] – Stevie Wonder Tribute Style,https://www.youtube.com/watch?v=Oc7yhO_GAqc,439,soul,Unknown
c5oMo7TL6KA,🎵70s & 80s Soul & Funk Groove Vibes – Vinyl Nights #10 -  Show Me How,https://www.youtube.com/watch?v=c5oMo7TL6KA,288,soul,Unknown
yR2CpFlzE_k,Love in Motion -  Single [unknown 70s Soul gems],https://www.youtube.com/watch?v=yR2CpFlzE_k,247,soul,Unknown
ukku8NIfvVk,GENERATIONS SOUL FUNK 70S,https://www.youtube.com/watch?v=ukku8NIfvVk,2891,soul,Unknown
r6PEzt0jshg,[Mini Mix] Rare Soul & Disco Vol.34 - The Soulparanos Selection,https://www.youtube.com/watch?v=r6PEzt0jshg,31627,soul,Unknown
xXdlyFMZKfA,BARRY WHITE It's only love doing it's thing  70s Rare Soul,https://www.youtube.com/watch?v=xXdlyFMZKfA,6969,soul,Unknown
bhq2AhIcnqQ,James Brown – The Funk Machine [Lost Reels 1971] – Rare Funk & Soul Sessions,https://www.youtube.com/watch?v=bhq2AhIcnqQ,15360,soul,Unknown
AMNgVskaWwk,Rare Modern Soul 45 Luxury - i Love You,https://www.youtube.com/watch?v=AMNgVskaWwk,579,soul,Unknown
KkH5xEu8EnA,RARE MODERN SOUL - FLOWERS - For Real (Part 1&2) - 1976 LA Xpressio,https://www.youtube.com/watch?v=KkH5xEu8EnA,38987,soul,Unknown
hDtg8hV1HSM,RARE SOUL ORCHESTRA #3,https://www.youtube.com/watch?v=hDtg8hV1HSM,999,soul,Unknown
Xig95sefIJQ,GENERATIONS SOUL FUNK 70s,https://www.youtube.com/watch?v=Xig95sefIJQ,1549,soul,Unknown
Qg6mlU3ZZ_Y,BOBBY WOMACK  Git it  70s Rare Soul Instr.,https://www.youtube.com/watch?v=Qg6mlU3ZZ_Y,5103,soul,Unknown
YjxByST_VOU,Rare Soul Disco Boogie 45 Rare Pleasure – Let Me Down Easy,https://www.youtube.com/watch?v=YjxByST_VOU,559,funk,Unknown
KqatVROPPOk,Midnight Groove Ride – Rare 70s Funk Soul Vibes (Deep Old School Funk 2026),https://www.youtube.com/watch?v=KqatVROPPOk,3,soul,Unknown
AJ5KKuG4-yo,"Deep Soul, Rare Groove & G-Funk 70s #Serie #Episode #1",https://www.youtube.com/watch?v=AJ5KKuG4-yo,29131,soul,Unknown
